Field Name,Units
Food Sales - Percent That Can Be Heated ,Percentage
Food Sales - Weekly Operating Hours,
Food Sales - Worker Density,"Number per 1,000 ft2"
Food Service - Computer Density,"Number per 1,000 ft2"
Food Service - Gross Floor Area,ft2
Food Service - Number of Computers,
Food Service - Number of Workers on Main Shift,
Food Service - Percent That Can Be Cooled ,Percentage
Food Service - Percent That Can Be Heated,Percentage
Food Service - Weekly Operating Hours,
Food Service - Worker Density,"Number per 1,000 ft2"
Hospital (General Medical & Surgical) - Full Time Equivalent (FTE) Workers Density,"Number per 1,000 ft2"
Hospital (General Medical & Surgical) - Gross Floor Area,ft2
Hospital (General Medical & Surgical) - Laboratory,
Hospital (General Medical & Surgical) - Maximum Number of Floors,
Hospital (General Medical & Surgical) - MRI Density,"Number per 1,000 ft2"
Hospital (General Medical & Surgical) - Number of MRI Machines,
Hospital (General Medical & Surgical) - Number of Staffed Beds,
Hospital (General Medical & Surgical) - Onsite Laundry Facilitiy,
Hospital (General Medical & Surgical) - Owned By,
Hospital (General Medical & Surgical) - Staffed Bed Density,"Number per 1,000 ft2"
Hospital (General Medical & Surgical) - Tertiary Care,
Hospital (General Medical & Surgical)- Full Time Equivalent (FTE) Workers,
Hotel - Amount of Laundry Processed On-site Annually,short tons/year
Hotel - Average Occupancy,Percentage
Hotel - Commercial Refrigeration Density,"Number per 1,000 ft2"
Hotel - Cooking Facilities,
Hotel - Full Service Spa Floor Area,ft2
Hotel - Gross Floor Area,ft2
Hotel - Gym/fitness Center Floor Area,ft2
Hotel - Number of Workers on Main Shift,
Hotel - Percent That Can Be Cooled,Percentage
Hotel - Percent That Can Be Heated,Percentage
Hotel - Room Density,"Number per 1,000 ft2"
Hotel - Type of Laundry Facility,
Hotel - Worker Density,"Number per 1,000 ft2"
Hotel- Hours per day guests on-site,
Hotel- Number of Commercial Refrigeration/Freezer Units,
Hotel- Number of guest meals served per year,
Hotel- Number of Rooms,
Ice/Curling Rink - Computer Density,"Number per 1,000 ft2"
Ice/Curling Rink - Gross Floor Area,ft2
Ice/Curling Rink - Number of Computers,
Ice/Curling Rink - Number of Workers on Main Shift,
Ice/Curling Rink - Percent That Can Be Cooled,Percentage
Ice/Curling Rink - Percent That Can Be Heated,Percentage
Ice/Curling Rink - Weekly Operating Hours,
Ice/Curling Rink - Worker Density,"Number per 1,000 ft2"
Indoor Arena - Computer Density,"Number per 1,000 ft2"
Indoor Arena - Enclosed Floor Area,ft2
Indoor Arena - Gross Floor Area,ft2
Indoor Arena - Ice Events,
Indoor Arena - Number of Computers,
Indoor Arena - Number of Concert/Show Events per Year,
Indoor Arena - Number of Special/Other Events per Year,
Indoor Arena - Number of Sporting Events per Year ,
Indoor Arena - Number of Walk-in Refrigeration/Freezer Units,
Indoor Arena - Percent That Can Be Cooled ,Percentage
Indoor Arena - Percent That Can Be Heated ,Percentage
Indoor Arena - Size of Electronic Scoreboards,ft2
Indoor Arena - Walk-in Refrigeration Density,"Number per 1,000 ft2"
K-12 School - Computer Density,"Number per 1,000 ft2"
K-12 School - Cooking Facilities,
K-12 School - Gross Floor Area,ft2
K-12 School - Gymnasium Floor Area,ft2
K-12 School - High School,
K-12 School - Months in Use,
K-12 School - Number of Computers,
K-12 School - Number of Walk-in Refrigeration/Freezor Units,
K-12 School - Number of Workers on Main Shift,
K-12 School - Percent That Can Be Cooled,Percentage
K-12 School - Percent That Can Be Heated,Percentage
K-12 School - Refrigeration Density,"Number per 1,000 ft2"
K-12 School - School District,
K-12 School - Student Seating Capacity,
K-12 School - Student Seating Density,"Number per 1,000 ft2"
K-12 School - Weekend Operation,
K-12 School - Worker Density,"Number per 1,000 ft2"
Laboratory - Computer Density,"Number per 1,000 ft2"
Laboratory - Gross Floor Area,ft2
Laboratory - Number of Computers,
Laboratory - Number of Workers on Main Shift,
Laboratory - Percent That Can Be Cooled ,Percentage
Laboratory - Percent That Can Be Heated,Percentage
Laboratory - Weekly Operating Hours,
Laboratory - Worker Density,"Number per 1,000 ft2"
Library - Computer Density,"Number per 1,000 ft2"
Library - Gross Floor Area,ft2
Library - Number of Computers,
Library - Number of Workers on Main Shift,
Library - Percent That Can Be Cooled ,Percentage
Library - Percent That Can Be Heated ,Percentage
Library - Weekly Operating Hours,
Library - Worker Density,"Number per 1,000 ft2"
Lifestyle Center - Computer Density,"Number per 1,000 ft2"
Lifestyle Center - Gross Floor Area,ft2
Lifestyle Center - Number of Computers,
Lifestyle Center - Number of Workers on Main Shift,
Lifestyle Center - Percent That Can Be Cooled,Percentage
Lifestyle Center - Percent That Can Be Heated ,Percentage
Lifestyle Center - Weekly Operating Hours,
Lifestyle Center - Worker Density,"Number per 1,000 ft2"
Mailing Center/Post Office - Computer Density,"Number per 1,000 ft2"
Mailing Center/Post Office - Gross Floor Area,ft2
Mailing Center/Post Office - Number of Computers,
Mailing Center/Post Office - Number of Workers on Main Shift ,
Mailing Center/Post Office - Percent That Can Be Cooled,Percentage
Mailing Center/Post Office - Percent That Can Be Heated,Percentage
Mailing Center/Post Office - Weekly Operating Hours,
Mailing Center/Post Office - Worker Density,"Number per 1,000 ft2"
Manufacturing/Industrial Plant - Computer Density,"Number per 1,000 ft2"
Manufacturing/Industrial Plant - Gross Floor Area,ft2
Manufacturing/Industrial Plant - Number of Computers,
Manufacturing/Industrial Plant - Number of Workers on Main Shift,
Manufacturing/Industrial Plant - Percent That Can Be Cooled,Percentage
Manufacturing/Industrial Plant - Percent That Can Be Heated,Percentage 
Manufacturing/Industrial Plant - Weekly Operating Hours,
Manufacturing/Industrial Plant - Worker Density,"Number per 1,000 ft2"
Medical Office - Gross Floor Area,ft2
Medical Office - MRI Machine Density,"Number per 1,000 ft2"
Medical Office - Number of MRI Machines,
Medical Office - Number of Surgical Operating Beds,
Medical Office - Number of Workers on Main Shift,
Medical Office - Percent That Can Be Cooled ,Percentage
Medical Office - Perfecnt That Can Be Heated,Percentage
Medical Office - Surgery Center Size,ft2
Medical Office - Surgical Operating Bed Density,"Number per 1,000 ft2"
Medical Office - Weekly Operating Hours,
Medical Office - Worker Density,"Number per 1,000 ft2"
Movie Theater - Computer Density,"Number per 1,000 ft2"
Movie Theater - Gross Floor Area,ft2
Movie Theater - Number of Computers,
Movie Theater - Number of Workers on Main Shift,
Movie Theater - Percent That Can Be Cooled ,Percentage
Movie Theater - Percent That Can Be Heated ,Percentage
Movie Theater - Weekly Operating Hours,
Movie Theater - Worker Density,"Number per 1,000 ft2"
Multifamily Housing - Government Subsidized Housing,
Multifamily Housing - Gross Floor Area,ft2
Multifamily Housing - Maximum Number of Floors,
Multifamily Housing - Number of Bedrooms,
Multifamily Housing - Number of Dishwasher Hookups in All Units,
Multifamily Housing - Number of Dishwasher Hookups in Common Area(s),
Multifamily Housing - Number of Laundry Hookups in All Units,
Multifamily Housing - Number of Laundry Hookups in Common Area(s),
Multifamily Housing - Number of Residential Living Units,
Multifamily Housing - Percent of Gross Floor Area That is Common Space Only,Percentage
Multifamily Housing - Percent That Can Be Cooled,Percentage
Multifamily Housing - Percent That Can Be Heated,Percentage
Multifamily Housing - Primary Hot Water Fuel Type (for units),
Multifamily Housing - Resident Population Type,
Museum - Computer Density,"Number per 1,000 ft2"
Museum - Gross Floor Area,ft2
Museum - Number of Computers,
Museum - Number of Workers on Main Shift,
Museum - Percent That Can Be Cooled ,Percentage
Museum - Percent That Can Be Heated ,Percentage
Museum - Weekly Operating Hours,
Museum - Worker Density,"Number per 1,000 ft2"
Non-Refrigerated Warehouse - Gross Floor Area,ft2
Non-Refrigerated Warehouse - Number of Walk-in Refrigeration/Freezer Units,
Non-Refrigerated Warehouse - Number of Worker on Main Shift,
Non-Refrigerated Warehouse - Percent That Can Be Cooled ,Percentage
Non-Refrigerated Warehouse - Percent That Can Be Heated,Percentage
Non-Refrigerated Warehouse - Walk-in Refrigeration Density,"Number per 1,000 ft2"
Non-Refrigerated Warehouse - Weekly Operating Hours,
Non-Refrigerated Warehouse - Worker Density,"Number per 1,000 ft2"
Office - Computer Density,"Number per 1,000 ft2"
Office - Gross Floor Area,ft2
Office - Number of Computers,
Office - Number of Workers on Main Shift,
Office - Percent That Can Be Cooled ,Percentage
Office - Percent That Can Be Heated,Percentage
Office - Weekly Operating Hours,
Office - Worker Density,"Number per 1,000 ft2"
Other - Public Services - Percent That Can Be Heated ,Percentage 
Other - Services - Percent That Can Be Heated,Percentage
Other - Computer Density,"Number per 1,000 ft2"
Other - Education - Computer Density,"Number per 1,000 ft2"
Other - Education - Gross Floor Area,ft2
Other - Education - Number of Computers,
Other - Education - Number of Workers on Main Shift,
Other - Education - Percent That Can Be Cooled ,Percentage
Other - Education - Percent That Can Be Heated,Percentage
Other - Education - Weekly Operating Hours,
Other - Education - Worker Density,"Number per 1,000 ft2"
Other - Entertainment/Public Assembly - Computer Density,"Number per 1,000 ft2"
Other - Entertainment/Public Assembly - Gross Floor Area,ft2
Other - Entertainment/Public Assembly - Number of Computers,
Other - Entertainment/Public Assembly - Number of Workers on Main Shift,
Other - Entertainment/Public Assembly - Percent That Can Be Cooled,Percentage
Other - Entertainment/Public Assembly - Percent That Can Be Heated ,Percentage
Other - Entertainment/Public Assembly - Weekly Operating Hours,
Other - Entertainment/Public Assembly - Worker Density,"Number per 1,000 ft2"
Other - Gross Floor Area,ft2
Other - Lodging/Residential - Computer Density,"Number per 1,000 ft2"
Other - Lodging/Residential - Gross Floor Area,ft2
Other - Lodging/Residential - Number of Computers,
Other - Lodging/Residential - Number of Workers on Main Shift,
Other - Lodging/Residential - Percent That Can Be Heated ,Percentage
Other - Lodging/Residential - Weekly Operating Hours,
Other - Lodging/Residential - Worker Density,"Number per 1,000 ft2"
Other - Lodgning/Residential - Percent That Can Be Cooled,Percentage
Other - Mall - Computer Density,"Number per 1,000 ft2"
Other - Mall - Gross Floor Area,ft2
Other - Mall - Number of Computers,
Other - Mall - Number of Workers on Main Shift,
Other - Mall - Percent That Can Be Cooled,Percentage
Other - Mall - Percent That Can Be Heated ,Percentage
Other - Mall - Weekly Operating Hours,
Other - Mall - Worker Density,"Number per 1,000 ft2"
Other - Number of Computers,
Other - Number of Workers on Main Shift,
Other - Percent That Can Be Cooled ,Percentage
Other - Percent That Can Be Heated ,Percentage
Other - Public Services - Computer Density ,"Number per 1,000 ft2"
Other - Public Services - Gross Floor Area,ft2
Other - Public Services - Number of Computers,
Other - Public Services - Number of Workers on Main Shift,
Other - Public Services - Percent That Can Be Cooled ,Percentage
Other - Public Services - Weekly Operating Hours,
Other - Public Services - Worker Density,"Number per 1,000 ft2"
Other - Recreation - Computer Density,"Number per 1,000 ft2"
Other - Recreation - Gross Floor Area,ft2
Other - Recreation - Number of Computers,
Other - Recreation - Number of Workers on Main Shift,
Other - Recreation - Percent That Can Be Cooled ,Percentage
Other - Recreation - Percent That Can Be Heated,Percentage
Other - Recreation - Weekly Operating Hours,
Other - Recreation - Worker Density,"Number per 1,000 ft2"
Other - Restaurant/Bar - Computer Density,"Number per 1,000 ft2"
Other - Restaurant/Bar - Gross Floor Area,ft2
Other - Restaurant/Bar - Number of Computers,
Other - Restaurant/Bar - Number of Workers on Main Shift,
Other - Restaurant/Bar - Percent That Can Be Cooled ,Percentage
Other - Restaurant/Bar - Percent That Can Be Heated ,Percentage 
Other - Restaurant/Bar - Weekly Operating Hours,
Other - Restaurant/Bar - Worker Density,"Number per 1,000 ft2"
Other - Services - Computer Density,"Number per 1,000 ft2"
Other - Services - Gross Floor Area,ft2
Other - Services - Number of Computers,
Other - Services - Number of Workers on Main Shift,
Other - Services - Percent That Can Be Cooled ,Percentage
Other - Services - Weekly Operating Hours,
Other - Services - Worker Density,"Number per 1,000 ft2"
Other - Stadium - Computer Density,"Number per 1,000 ft2"
Other - Stadium - Enclosed Floor Area,ft2
Other - Stadium - Gross Floor Area,ft2
Other - Stadium - Ice Events,
Other - Stadium - Number of Computers,
Other - Stadium - Number of Concert/Show Events per Year,
Other - Stadium - Number of Special/Other Events per Year,
Other - Stadium - Number of Sporting Events per Year,
Other - Stadium - Number of Walk-in Refrigeration/Freezer Units,
Other - Stadium - Percent That Can Be Cooled ,Percentage
Other - Stadium - Percent That Can Be Heated,Percentage
Other - Stadium - Size of Electronic Scoreboards,ft2
Other - Stadium - Walk-in Refrigeration Density,"Number per 1,000 ft2"
Other - Technology/Science - Computer Density,"Number per 1,000 ft2"
Other - Technology/Science - Gross Floor Area,ft2
Other - Technology/Science - Number of Computers,
Other - Technology/Science - Number of Workers on Main Shift,
Other - Technology/Science - Percent That Can Be Cooled ,Percentage
Other - Technology/Science - Percent That Can Be Heated ,Percentage
Other - Technology/Science - Weekly Operating Hours,
Other - Technology/Science - Worker Density,"Number per 1,000 ft2"
Other - Utility - Computer Density,"Number per 1,000 ft2"
Other - Utility - Gross Floor Area,ft2
Other - Utility - Number of Computers,
Other - Utility - Number of Workers on Main Shift,
Other - Utility - Percent That Can Be Cooled ,Percentage
Other - Utility - Percent That Can Be Heated ,Percentage
Other - Utility - Weekly Operating Hours,
Other - Utility - Worker Density,"Number per 1,000 ft2"
Other - Weekly Operating Hours,
Other - Worker Density,"Number per 1,000 ft2"
Other/Speciality Hospital - Computer Density,"Number per 1,000 ft2"
Other/Speciality Hospital - Gross Floor Area,ft2
Other/Speciality Hospital - Number of Computers,
Other/Speciality Hospital - Number of Workers on Main Shift,
Other/Speciality Hospital - Percent That Can Be Cooled ,Percentage
Other/Speciality Hospital - Percent That Can Be Heated,Percentage
Other/Speciality Hospital - Weekly Operating Hours,
Other/Speciality Hospital - Worker Density,"Number per 1,000 ft2"
Outpatient Rehabilitation/Physical Therapy - Computer Density,"Number per 1,000 ft2"
Outpatient Rehabilitation/Physical Therapy - Gross Floor Area,ft2
Outpatient Rehabilitation/Physical Therapy - Number of Computers,
Outpatient Rehabilitation/Physical Therapy - Number of Workers on Main Shift,
Outpatient Rehabilitation/Physical Therapy - Percent That Can Be Cooled ,Percentage
Outpatient Rehabilitation/Physical Therapy - Percent That Can Be Heated ,Percentage
Outpatient Rehabilitation/Physical Therapy - Weekly Operating Hours,
Outpatient Rehabilitation/Physical Therapy - Worker Density,"Number per 1,000 ft2"
Parking - Completely Enclosed Parking Garage Size,ft2
Parking - Gross Floor Area,ft2
Parking - Open Parking Lot Size,ft2
Parking - Partially Enclosed Parking Garage Size,ft2 
Parking - Supplemental Heating,
Performing Arts - Computer Density,"Number per 1,000 ft2"
Performing Arts - Gross Floor Area,ft2
Performing Arts - Number of Computers,
Performing Arts - Number of Workers on Main Shift ,
Performing Arts - Percent That Can Be Cooled ,Percentage
Performing Arts - Percent That Can Be Heated ,Percentage
Performing Arts - Weekly Operating Hours,
Performing Arts - Worker Density,"Number per 1,000 ft2"
"Personal Services (Health/Beauty, Dry Cleaning, etc) - Computer Density","Number per 1,000 ft2"
"Personal Services (Health/Beauty, Dry Cleaning, etc) - Gross Floor Area",ft2
"Personal Services (Health/Beauty, Dry Cleaning, etc) - Number of Computers",
"Personal Services (Health/Beauty, Dry Cleaning, etc) - Number of Workers on Main Shift",
"Personal Services (Health/Beauty, Dry Cleaning, etc) - Percent That Can Be Cooled ",Percentage
"Personal Services (Health/Beauty, Dry Cleaning, etc) - Percent That Can Be Heated ",Percentage
"Personal Services (Health/Beauty, Dry Cleaning, etc) - Weekly Operating Hours",
"Personal Services (Health/Beauty, Dry Cleaning, etc) - Worker Density","Number per 1,000 ft2"
Police Station - Computer Density,"Number per 1,000 ft2"
Police Station - Gross Floor Area,ft2
Police Station - Number of Computers,
Police Station - Number of Workers on Main Shift,
Police Station - Percent That Can Be Cooled ,Percentage
Police Station - Percent That Can Be Heated,Percentage
Police Station - Weekly Operating Hours,
Police Station - Worker Density,"Number per 1,000 ft2"
Pre-school/Daycare - Computer Density,"Number per 1,000 ft2"
Pre-school/Daycare - Gross Floor Area,ft2
Pre-school/Daycare - Number of Computers,
Pre-school/Daycare - Number of Workers on Main Shift,
Pre-school/Daycare - Percent That Can Be Cooled ,Percentage
Pre-school/Daycare - Percent That Can Be Heated ,Percentage
Pre-school/Daycare - Weekly Operating Hours,
Pre-school/Daycare - Worker Density,"Number per 1,000 ft2"
Prison/Incarceration - Computer Density,"Number per 1,000 ft2"
Prison/Incarceration - Gross Floor Area,ft2
Prison/Incarceration - Number of Computers,
Prison/Incarceration - Number of Workers on Main Shift,
Prison/Incarceration - Percent That Can Be Cooled ,Percentage
Prison/Incarceration - Percent That Can Be Heated ,Percentage
Prison/Incarceration - Weekly Operating Hours,
Prison/Incarceration - Worker Density,"Number per 1,000 ft2"
Race Track - Computer Density,"Number per 1,000 ft2"
Race Track - Gross Floor Area,ft2
Race Track - Number of Computers,
Race Track - Number of Workers on Main Shift,
Race Track - Percent That Can Be Cooled ,Percentage
Race Track - Percent That Can Be Heated ,Percentage
Race Track - Weekly Operating Hours,
Race Track - Worker Density,"Number per 1,000 ft2"
Refrigerated Warehouse - Gross Floor Area,ft2
Refrigerated Warehouse - Number of Workers on Main Shift,
Refrigerated Warehouse - Weekly Operating Hours,
Refrigerated Warehouse - Worker Density,"Number per 1,000 ft2"
"Repair Services (Vehicle, Shoe, Locksmith, etc) - Computer Density","Number per 1,000 ft2"
"Repair Services (Vehicle, Shoe, Locksmith, etc) - Gross Floor Area",ft2
"Repair Services (Vehicle, Shoe, Locksmith, etc) - Number of Computers",
"Repair Services (Vehicle, Shoe, Locksmith, etc) - Number of Workers on Main Shift",
"Repair Services (Vehicle, Shoe, Locksmith, etc) - Percent That Can Be Cooled ",Percentage
"Repair Services (Vehicle, Shoe, Locksmith, etc) - Percent That Can Be Heated ",Percentage
"Repair Services (Vehicle, Shoe, Locksmith, etc) - Weekly Operating Hours ",
"Repair Services (Vehicle, Shoe, Locksmith, etc) - Worker Density","Number per 1,000 ft2"
Residence Hall/ Dormitory - Computer Lab,
Residence Hall/ Dormitory - Dining Hall,
Residence Hall/Dormitory - Gross Floor Area ,ft2
Residence Hall/Dormitory - Number of Rooms,
Residence Hall/Dormitory - Percent That Can Be Cooled,Percentage
Residence Hall/Dormitory - Percent That Can Be Heated,Percentage
Residence Hall/Dormitory - Room Density,"Number per 1,000 ft2"
Restaurant - Computer Density,"Number per 1,000 ft2"
Restaurant - Gross Floor Area,ft2
Restaurant - Number of Computers,
Restaurant - Number of Workers on Main Shift,
Restaurant - Percent That Can Be Cooled ,Percentage
Restaurant - Percent That Can Be Heated ,Percentage
Restaurant - Weekly Operating Hours,
Restaurant - Worker Density,"Number per 1,000 ft2"
Retail Store - Cash Register Density,"Number per 1,000 ft2"
Retail Store - Computer Density,"Number per 1,000 ft2"
Retail Store - Exterior Entrance to the Public,
Retail Store - Gross Floor Area,ft2
Retail Store - Number of Cash Registers,
Retail Store - Number of Computers,
Retail Store - Number of Open or Closed Refrigeration/Freezer Units,
Retail Store - Number of Walk-in Refrigeration/Freezer Units,
Retail Store - Number of Workers on Main Shift ,
Retail Store - Open or Closed Refrigeration Density,"Number per 1,000 ft2"
Retail Store - Percent That Can Be Cooled,Percentage
Retail Store - Percent That Can Be Heated,Percentage
Retail Store - Single Store ,
Retail Store - Walk-in Refrigeration Density,"Number per 1,000 ft2"
Retail Store - Weekly Operating Hours,
Retail Store - Worker Density,"Number per 1,000 ft2"
Roller Rink - Number of Workers on Main Shift,
Roller Rink - Computer Density,"Number per 1,000 ft2"
Roller Rink - Gross Floor Area,ft2
Roller Rink - Number of Computers,
Roller Rink - Percent That Can Be Cooled ,Percentage
Roller Rink - Percent That Can Be Heated ,Percentage
Roller Rink - Weekly Operating Hours,
Roller Rink - Worker Density,"Number per 1,000 ft2"
Self-Storage Facility - Computer Density,"Number per 1,000 ft2"
Self-Storage Facility - Gross Floor Area,ft2
Self-Storage Facility - Number of Computers,
Self-Storage Facility - Number of Workers on Main Shift,
Self-Storage Facility - Percent That Can Be Cooled ,Percentage
Self-Storage Facility - Percent That Can Be Heated ,Percentage
Self-Storage Facility - Weekly Operating Hours,
Self-Storage Facility - Worker Density,"Number per 1,000 ft2"
Senior Care Community - Average Number of Residents,
Senior Care Community - Commercial Refrigeration Density,"Number per 1,000 ft2"
Senior Care Community - Commercial Washing Machine Density,"Number per 1,000 ft2"
Senior Care Community - Computer Density,"Number per 1,000 ft2"
Senior Care Community - Electronic Lift Density,"Number per 1,000 ft2"
Senior Care Community - Gross Floor Area,ft2
Senior Care Community - Living Unit Density,"Number per 1,000 ft2"
Senior Care Community - Maximum Resident Capacity,
Senior Care Community - Number of Commercial Washing Machines,
Senior Care Community - Number of Commerical Refrigeration/ Freezer Units,
Senior Care Community - Number of Computers,
Senior Care Community - Number of Residential Electronic Lift Systems ,
Senior Care Community - Number of Residential Living Units,
Senior Care Community - Number of Residential Washing Machines ,
Senior Care Community - Number of Workers on Main Shift,
Senior Care Community - Percent That Can Be Cooled ,Percentage
Senior Care Community - Percent That Can Be Heated ,Percentage
Senior Care Community - Resident Density,"Number per 1,000 ft2"
Senior Care Community - Residential Washing Machine Density,"Number per 1,000 ft2"
Senior Care Community - Worker Density,"Number per 1,000 ft2"
Single Family Home - Bedroom Density,"Number per 1,000 ft2"
Single Family Home - Density of People ,"Number per 1,000 ft2"
Single Family Home - Gross Floor Area,ft2
Single Family Home - Number of Bedrooms,
Single Family Home - Number of People,
Social/Meeting Hall - Computer Density,"Number per 1,000 ft2"
Social/Meeting Hall - Gross Floor Area,ft2
Social/Meeting Hall - Number of Computers,
Social/Meeting Hall - Number of Workers on Main Shift,
Social/Meeting Hall - Percent That Can Be Cooled ,Percentage
Social/Meeting Hall - Percent That Can Be Heated ,Percentage
Social/Meeting Hall - Weekly Operating Hours,
Social/Meeting Hall - Worker Density,"Number per 1,000 ft2"
Stadium (Closed) - Computer Density,"Number per 1,000 ft2"
Stadium (Closed) - Enclosed Floor Area,ft2
Stadium (Closed) - Gross Floor Area,ft2
Stadium (Closed) - Ice Events,
Stadium (Closed) - Number of Computers,
Stadium (Closed) - Number of Concert/Show Events per Year,
Stadium (Closed) - Number of Special/Other Events per Year,
Stadium (Closed) - Number of Sporting Events per Year,
Stadium (Closed) - Number of Walk-in Refrigeration/Freezer Units,
Stadium (Closed) - Percent That Can Be Cooled ,Percentage
Stadium (Closed) - Percent That Can Be Heated ,Percentage
Stadium (Closed) - Size of Electronic Scoreboards,ft2
Stadium (Closed) - Walk-in Refrigeration Density,"Number per 1,000 ft2"
Stadium (Open) - Computer Density,"Number per 1,000 ft2"
Stadium (Open) - Enclosed Floor Area,ft2
Stadium (Open) - Gross Floor Area,ft2
Stadium (Open) - Ice Events,
Stadium (Open) - Number of Computers,
Stadium (Open) - Number of Concert/Show Events per Year,
Stadium (Open) - Number of Special/Other Events per Year,
Stadium (Open) - Number of Sporting Events per Year,
Stadium (Open) - Number of Walk-in Refrigeration/Freezer Units,
Stadium (Open) - Percent That Can Be Cooled ,Percentage
Stadium (Open) - Percent That Can Be Heated ,Percentage
Stadium (Open) - Size of Electronic Scoreboards,ft2
Stadium (Open) - Walk-in Refrigeration Density,"Number per 1,000 ft2"
Strip Mall - Computer Density,"Number per 1,000 ft2"
Strip Mall - Gross Floor Area,ft2
Strip Mall - Number of Computers,
Strip Mall - Number of Workers on Main Shift,
Strip Mall - Percent That Can Be Cooled,Percentage
Strip Mall - Percent That Can Be Heated ,Percentage
Strip Mall - Weekly Operating Hours,
Strip Mall - Worker Density,"Number per 1,000 ft2"
Supermarket/Grocery - Cash Register Density,"Number per 1,000 ft2"
Supermarket/Grocery - Computer Density,"Number per 1,000 ft2"
Supermarket/Grocery - Cooking Facilities,
Supermarket/Grocery - Gross Floor Area,ft2
Supermarket/Grocery - Number of Cash Registers ,
Supermarket/Grocery - Number of Computers,
Supermarket/Grocery - Number of Open or Closed Refrigeration/Freezer Units,
Supermarket/Grocery - Number of Walk-in Refrigeration/Freezer Units,
Supermarket/Grocery - Number of Workers on Main Shift,
Supermarket/Grocery - Open or Closed Refrigeration Density,"Number per 1,000 ft2"
Supermarket/Grocery - Percent That Can Be Cooled,Percentage
Supermarket/Grocery - Percent That Can Be Heated,Percentage
Supermarket/Grocery - Walk-in Refrigeration Density,"Number per 1,000 ft2"
Supermarket/Grocery - Weekly Operating Hours,
Supermarket/Grocery - Worker Density,"Number per 1,000 ft2"
Swimming Pool - Approximate Pool Size,
Swimming Pool - Location of Pool,
Swimming Pool - Months in Use,
Transportation Terminal/Station - Computer Density,"Number per 1,000 ft2"
Transportation Terminal/Station - Gross Floor Area,ft2
Transportation Terminal/Station - Number of Computers,
Transportation Terminal/Station - Number of Workers on Main Shift,
Transportation Terminal/Station - Percent That Can Be Cooled ,Percentage
Transportation Terminal/Station - Percent That Can Be Heated ,Percentage
Transportation Terminal/Station - Weekly Operating Hours,
Transportation Terminal/Station - Worker Density,"Number per 1,000 ft2"
Urgent Care/Clinic/Other Outpatient - Computer Density,"Number per 1,000 ft2"
Urgent Care/Clinic/Other Outpatient - Gross Floor Area,ft2
Urgent Care/Clinic/Other Outpatient - Number of Computers,
Urgent Care/Clinic/Other Outpatient - Number of Workers on Main Shift,
Urgent Care/Clinic/Other Outpatient - Percent That can Be Cooled ,Percentage
Urgent Care/Clinic/Other Outpatient - Percent That Can Be Heated ,Percentage
Urgent Care/Clinic/Other Outpatient - Weekly Operating Hours,
Urgent Care/Clinic/Other Outpatient - Worker Density,"Number per 1,000 ft2"
Veterinary Office - Computer Density,"Number per 1,000 ft2"
Veterinary Office - Gross Floor Area,ft2
Veterinary Office - Number of Computers,
Veterinary Office - Number of Workers on Main Shift,
Veterinary Office - Percent That Can Be Heated ,Percentage
Veterinary Office - Percent That Can Be Heated ,Percentage
Veterinary Office - Weekly Operating Hours,
Veterinary Office - Worker Density,"Number per 1,000 ft2"
Vocational School - Computer Density,"Number per 1,000 ft2"
Vocational School - Gross Floor Area,ft2
Vocational School - Number of Computers,
Vocational School - Number of Workers on Main Shift,
Vocational School - Percent That Can Be Cooled ,Percentage
Vocational School - Percent That Can Be Heated ,Percentage
Vocational School - Weekly Operating Hours,
Vocational School - Worker Density,"Number per 1,000 ft2"
Wastewater Treatment Plant - Average Effluent Biological Oxygen Demand (BOD5),mg/l
Wastewater Treatment Plant - Average Influent Biological Oxygen Demand (BOD5),mg/l
Wastewater Treatment Plant - Average Influent Flow,MGD
Wastewater Treatment Plant - Fixed Film Trickle Filtration Process,
Wastewater Treatment Plant - Gross Floor Area,ft2
Wastewater Treatment Plant - Nutrient Removal,
Wastewater Treatment Plant - Plant Design Flow Rate,MGD
Wholesale Club/Supercenter- Cash Register Density,"Number per 1,000 ft2"
Wholesale Club/Supercenter- Computer Density,"Number per 1,000 ft2"
Wholesale Club/Supercenter- Exterior Entrance to the Public,
Wholesale Club/Supercenter- Gross Floor Area ,ft2
Wholesale Club/Supercenter- Number of Cash Registers,
Wholesale Club/Supercenter- Number of Computers,
Wholesale Club/Supercenter- Number of Open or Closed Refrigeration/Freezer Units,
Wholesale Club/Supercenter- Number of Walk-in Refrigeration/Freezer Units ,
Wholesale Club/Supercenter- Number of Workers on Main Shift,
Wholesale Club/Supercenter- Open or Closed Refrigeration Density,"Number per 1,000 ft2"
Wholesale Club/Supercenter- Percent That Can Be Cooled,Percentage
Wholesale Club/Supercenter- Percent That Can Be Heated,Percentage
Wholesale Club/Supercenter- Walk-in Refrigeration Density,"Number per 1,000 ft2"
Wholesale Club/Supercenter- Weekly Operating Hours,
Wholesale Club/Supercenter- Worker Density,"Number per 1,000 ft2"
Worship Facility - Commercial Refrigeration Density,"Number per 1,000 ft2"
Worship Facility - Computer Density,"Number per 1,000 ft2"
Worship Facility - Cooking Facilities,
Worship Facility - Gross Floor Area,ft2
Worship Facility - Number of Commercial Refrigeration/Freezer Units,
Worship Facility - Number of Computers,
Worship Facility - Number of Weekdays Open,
