CurrentSEED,NewSEED,PM1,PM2,Type,
Design Fuel Oil #5 & 6 Use (kBtu),Fuel Oil No-5 and No-6 kBtu Design Target Resource Use,Design Fuel Oil #5 & 6 Use (kBtu),,float,
Design Hospital (General Medical & Surgical) - Gross Floor Area (ft2),Inpatient Hospital Design Files Gross Floor Area,Design Hospital (General Medical & Surgical) - Gross Floor Area (ft2),,float,
Design Hotel - Gross Floor Area (ft2),Lodging with Extended Amenities Design Files Gross Floor Area,Design Hotel - Gross Floor Area (ft2),,float,
Design Ice/Curling Rink - Gross Floor Area (ft2),Ice Rink Design Files Gross Floor Area,Design Ice/Curling Rink - Gross Floor Area (ft2),,float,
Design Indirect GHG Emissions (MtCO2e),Design Target Indirect Greenhouse Gas (GHG) Emissions,Design Indirect GHG Emissions (Metric Tons CO2e),designIndirectGHGEmissions,float,
Design Indoor Arena - Gross Floor Area (ft2),Stadium Design Files Gross Floor Area,Design Indoor Arena - Gross Floor Area (ft2),,float,
Design K-12 School - Gross Floor Area (ft2),Education Design Files Gross Floor Area,Design K-12 School - Gross Floor Area (ft2),,float,
Design Kerosene Use (kBtu),Kerosene kBtu Design Target Resource Use,Design Kerosene Use (kBtu),,float,
Design Laboratory - Gross Floor Area (ft2),Laboratory Design Files Gross Floor Area,Design Laboratory - Gross Floor Area (ft2),,float,
Design Library - Gross Floor Area (ft2),Cultural Entertainment Design Files Gross Floor Area,Design Library - Gross Floor Area (ft2),,float,
Design Lifestyle Center - Gross Floor Area (ft2),Strip Mall Design Files Gross Floor Area,Design Lifestyle Center - Gross Floor Area (ft2),,float,
Design Liquid Propane Use (kBtu),Liquid Propane kBtu Design Target Resource Use,Design Liquid Propane Use (kBtu),,float,
Design Mailing Center/Post Office - Gross Floor Area (ft2),Postal Service Design Files Gross Floor Area,Design Mailing Center/Post Office - Gross Floor Area (ft2),,float,
Design Manufacturing/Industrial Plant - Gross Floor Area (ft2),Industrial Manufacturing Plant Design Files Gross Floor Area,Design Manufacturing/Industrial Plant - Gross Floor Area (ft2),,float,
Design Medical Office - Gross Floor Area (ft2),Outpatient Non-diagnostic Design Files Gross Floor Area,Design Medical Office - Gross Floor Area (ft2),,float,
Design Movie Theater - Gross Floor Area (ft2),Social Entertainment Design Files Gross Floor Area,Design Movie Theater - Gross Floor Area (ft2),,float,
Design Multifamily Housing - Gross Floor Area (ft2),Multifamily Design Files Gross Floor Area,Design Multifamily Housing - Gross Floor Area (ft2),,float,
Design Museum - Gross Floor Area (ft2),Cultural Entertainment Design Files Gross Floor Area,Design Museum - Gross Floor Area (ft2),,float,
Design Natural Gas Use (kBtu),Natural Gas kBtu Design Target Resource Use,Design Natural Gas Use (kBtu),,float,
Design Non-Refrigerated Warehouse - Gross Floor Area (ft2),Non-refrigerated Warehouse Design Files Gross Floor Area,Design Non-Refrigerated Warehouse - Gross Floor Area (ft2),,float,
Design Office - Gross Floor Area (ft2),Office Design Files Gross Floor Area,Design Office - Gross Floor Area (ft2),,float,
Design Other - Education - Gross Floor Area (ft2),Education Design Files Gross Floor Area,Design Other - Education - Gross Floor Area (ft2),,float,
Design Other - Entertainment/Public Assembly - Gross Floor Area (ft2),Public Assembly Design Files Gross Floor Area,Design Other - Entertainment/Public Assembly - Gross Floor Area (ft2),,float,
Design Other - Gross Floor Area (ft2),Other Design Files Gross Floor Area,Design Other - Gross Floor Area (ft2),,float,
Design Other - Lodging/Residential - Gross Floor Area (ft2),Lodging Design Files Gross Floor Area,Design Other - Lodging/Residential - Gross Floor Area (ft2),,float,
Design Other - Mall - Gross Floor Area (ft2),Mall Design Files Gross Floor Area,Design Other - Mall - Gross Floor Area (ft2),,float,
Design Other - Public Services - Gross Floor Area (ft2),Other Design Files Gross Floor Area,Design Other - Public Services - Gross Floor Area (ft2),,float,
Design Other - Recreation - Gross Floor Area (ft2),Recreation Design Files Gross Floor Area,Design Other - Recreation - Gross Floor Area (ft2),,float,
Design Other - Restaurant/Bar - Gross Floor Area (ft2),Food Service Design Files Gross Floor Area,Design Other - Restaurant/Bar - Gross Floor Area (ft2),,float,
Design Other - Services - Gross Floor Area (ft2),Service Design Files Gross Floor Area,Design Other - Services - Gross Floor Area (ft2),,float,
Design Other - Specialty Hospital - Gross Floor Area (ft2),Healthcare Design Files Gross Floor Area,Design Other - Specialty Hospital - Gross Floor Area (ft2),,float,
Design Other - Stadium - Gross Floor Area (ft2),Stadium Design Files Gross Floor Area,Design Other - Stadium - Gross Floor Area (ft2),,float,
Design Other - Technology/Science - Gross Floor Area (ft2),Other Design Files Gross Floor Area,Design Other - Technology/Science - Gross Floor Area (ft2),,float,
Design Other - Utility - Gross Floor Area (ft2),Utility Design Files Gross Floor Area,Design Other - Utility - Gross Floor Area (ft2),,float,
Design Other Use (kBtu),Other kBtu Design Target Resource Use,Design Other Use (kBtu),,float,
Design Outpatient Rehabilitation/Physical Therapy - Gross Floor Area (ft2),Outpatient Rehabilitation Design Files Gross Floor Area,Design Outpatient Rehabilitation/Physical Therapy - Gross Floor Area (ft2),,float,
Design Parking - Gross Floor Area (ft2),Parking Design Files Gross Floor Area,Design Parking - Gross Floor Area (ft2),,float,
Design Performing Arts - Gross Floor Area (ft2),Stadium Design Files Gross Floor Area,Design Performing Arts - Gross Floor Area (ft2),,float,
"Design Personal Services (Health/Beauty, Dry Cleaning, etc) - Gross Floor Area (ft2)",Beauty and Health Services Design Files Gross Floor Area,"Design Personal Services (Health/Beauty, Dry Cleaning, etc) - Gross Floor Area (ft2)",,float,
Design Police Station - Gross Floor Area (ft2),Public Safety Station Design Files Gross Floor Area,Design Police Station - Gross Floor Area (ft2),,float,
Design Pre-school/Daycare - Gross Floor Area (ft2),Preschool or Daycare Design Files Gross Floor Area,Design Pre-school/Daycare - Gross Floor Area (ft2),,float,
Design Prison/Incarceration - Gross Floor Area (ft2),Correctional Facility Design Files Gross Floor Area,Design Prison/Incarceration - Gross Floor Area (ft2),,float,
Design Propane Use (kBtu),Propane kBtu Design Target Resource Use,Design Propane Use (kBtu),,float,
Design PUE,Power Usage Effectiveness (PUE) Design files Efficiency Value,Design PUE,designPUE,float,
Design Race Track - Gross Floor Area (ft2),Stadium Design Files Gross Floor Area,Design Race Track - Gross Floor Area (ft2),,float,
Design Refrigerated Warehouse - Gross Floor Area (ft2),Refrigerated Warehouse Design Files Gross Floor Area,Design Refrigerated Warehouse - Gross Floor Area (ft2),,float,
"Design Repair Services (Vehicle, Shoe, Locksmith, etc) - Gross Floor Area (ft2)",Mechanical Repair Shop Design Files Gross Floor Area,"Design Repair Services (Vehicle, Shoe, Locksmith, etc) - Gross Floor Area (ft2)",,float,
Design Residence Hall/Dormitory - Gross Floor Area (ft2),Institutional Lodging Design Files Gross Floor Area,Design Residence Hall/Dormitory - Gross Floor Area (ft2),,float,
Design Restaurant - Gross Floor Area (ft2),Full Food Service Design Files Gross Floor Area,Design Restaurant - Gross Floor Area (ft2),,float,
Design Retail Store - Gross Floor Area (ft2),Dry Goods Retail Design Files Gross Floor Area,Design Retail Store - Gross Floor Area (ft2),,float,
Design Roller Rink - Gross Floor Area (ft2),Indoor Sport Design Files Gross Floor Area,Design Roller Rink - Gross Floor Area (ft2),,float,
Design Self-Storage Facility - Gross Floor Area (ft2),Self-storage Design Files Gross Floor Area,Design Self-Storage Facility - Gross Floor Area (ft2),,float,
Design Senior Care Community - Gross Floor Area (ft2),Skilled Nursing Facility Design Files Gross Floor Area,Design Senior Care Community - Gross Floor Area (ft2),,float,
Design Single Family Home - Gross Floor Area (ft2),Single Family Design Files Gross Floor Area,Design Single Family Home - Gross Floor Area (ft2),,float,
Design Site Energy Use (kBtu),Design Target Site Energy Use,Design Site Energy Use (kBtu),designSiteTotal,float,
Design Site EUI (kBtu/ft2),Design Target Site Energy Use Intensity (EUI),Design Site EUI (kBtu/ft2),designSiteIntensity,float,
Design Social/Meeting Hall - Gross Floor Area (ft2),Social Entertainment Design Files Gross Floor Area,Design Social/Meeting Hall - Gross Floor Area (ft2),,float,
Design Source Energy Use (kBtu),Design Target Source Energy Use,Design Source Energy Use (kBtu),designSourceTotal,float,
Design Source EUI (kBtu/ft2),Design Target Source Energy Use Intensity (EUI),Design Source EUI (kBtu/ft2),designSourceIntensity,float,
Design Stadium (Closed) - Gross Floor Area (ft2),Stadium Design Files Gross Floor Area,Design Stadium (Closed)  - Gross Floor Area (ft2),,float,
Design Stadium (Open) - Gross Floor Area (ft2),Stadium Design Files Gross Floor Area,Design Stadium (Open)  - Gross Floor Area (ft2),,float,
Design Strip Mall - Gross Floor Area (ft2),Strip Mall Design Files Gross Floor Area,Design Strip Mall - Gross Floor Area (ft2),,float,
Design Supermarket/Grocery Store - Gross Floor Area (ft2),Grocery Store Design Files Gross Floor Area,Design Supermarket/Grocery Store - Gross Floor Area (ft2),,float,
Design Swimming Pool - Gross Floor Area (ft2),Pool Design Files Gross Floor Area,Design Swimming Pool - Gross Floor Area (ft2),,float,
Design Target % Better Than Median Source EUI,Design Target Source National Median Percent Improvement in Performance Over a Baseline,Design Target % Better Than Median Source EUI,designTargetBetterThanMedianSourceIntensity,float,
Design Target Energy Cost ($),Design Target Energy Cost,Design Target Energy Cost ($),designTargetEnergyCost,float,
Design Target ENERGY STAR Score,Design Target ENERGY STAR Score Assessment Metric Value,Design Target ENERGY STAR Score,designTargetScore,float,
Design Target Site Energy Use (kBtu),Design Target Site Energy Use,Design Target Site Energy Use (kBtu),designTargetSiteTotal,float,
Design Target Site EUI (kBtu/ft2),Design Target Site Energy Use Intensity (EUI),Design Target Site EUI (kBtu/ft2),designTargetSiteIntensity,float,
Design Target Source Energy Use (kBtu),Design Target Source Energy Use,Design Target Source Energy Use (kBtu),designTargetSourceTotal,float,
Design Target Source EUI (kBtu/ft2),Design Target Source Energy Use Intensity (EUI),Design Target Source EUI (kBtu/ft2),designTargetSourceIntensity,float,
Design Target Total GHG Emissions (MtCO2e),Design Target Total Greenhouse Gas (GHG) Emissions,Design Target Total GHG Emissions (Metric Tons CO2e),designTargetTotalGHGEmissions,float,
Design Target Total GHG Emissions Intensity (kgCO2e/ft2),Design Target Total Greenhouse Gas (GHG) Emissions Intensity,Design Target Total GHG Emissions Intensity (kgCO2e/ft2),designTargetTotalGHGEmissionsIntensity,float,
Design Target Water/Wastewater Site EUI (kBtu/gpd),Design Target Water/Wastewater Site Energy Use Intensity (EUI),Design Target Water/Wastewater Site EUI (kBtu/gpd),designTargetWaterWasteWaterSiteIntensity,float,
Design Target Water/Wastewater Source EUI (kBtu/gpd),Design Target Water/Wastewater Source Energy Use Intensity (EUI),Design Target Water/Wastewater Source EUI (kBtu/gpd),designTargetWaterWasteWaterSourceIntensity,float,
Design Total GHG Emissions (MtCO2e),Design Target Total Greenhouse Gas (GHG) Emissions,Design Total GHG Emissions (Metric Tons CO2e),designTotalGHGEmissions,float,
Design Total GHG Emissions Intensity (kgCO2e/ft2),Design Target Total Greenhouse Gas (GHG) Emissions Intensity,Design Total GHG Emissions Intensity (kgCO2e/ft2),designTotalGHGEmissionsIntensity,float,
Design Transportation Terminal/Station - Gross Floor Area (ft2),Design Files Gross Floor Area,Design Transportation Terminal/Station - Gross Floor Area (ft2),,float,
Design Urgent Care/Clinic/Other Outpatient - Gross Floor Area (ft2),Design Files Gross Floor Area,Design Urgent Care/Clinic/Other Outpatient - Gross Floor Area (ft2),,float,
Design Veterinary Office - Gross Floor Area (ft2),Design Files Gross Floor Area,Design Veterinary Office - Gross Floor Area (ft2),,float,
Design Vocational School - Gross Floor Area (ft2),Design Files Gross Floor Area,Design Vocational School - Gross Floor Area (ft2),,float,
Design Wastewater Treatment Plant - Gross Floor Area (ft2),Design Files Gross Floor Area,Design Wastewater Treatment Plant - Gross Floor Area (ft2),,float,
Design Water/Wastewater Site EUI (kBtu/gpd),Design Target Water/Wastewater Site Energy Use Intensity (EUI),Design Water/Wastewater Site EUI (kBtu/gpd),designWaterWasteWaterSiteIntensity,float,
Design Water/Wastewater Source EUI (kBtu/gpd),Design Target Water/Wastewater Source Energy Use Intensity (EUI),Design Water/Wastewater Source EUI (kBtu/gpd),designWaterWasteWaterSourceIntensity,float,
Design Wholesale Club/Supercenter - Gross Floor Area (ft2),Design Files Gross Floor Area,Design Wholesale Club/Supercenter - Gross Floor Area (ft2),,float,
Design Wood Use (kBtu),Wood kBtu Design Target Resource Use,Design Wood Use (kBtu),,float,
Design Worship Facility - Gross Floor Area (ft2),Design Files Gross Floor Area,Design Worship Facility - Gross Floor Area (ft2),,float,
Design Zoo - Gross Floor Area (ft2),Design Files Gross Floor Area,Design Zoo - Gross Floor Area (ft2),,float,
Diesel #2 Use (kBtu),Diesel kBtu Resource Use,Diesel #2 Use (kBtu),siteEnergyUseDiesel,float,
Diesel Cost ($),Diesel Resource Cost,Diesel Cost ($),energyCostDiesel,float,
Direct GHG Emissions (MtCO2e),Direct Greenhouse Gas (GHG) Emissions,Direct GHG Emissions (Metric Tons CO2e),directGHGEmissions,float,
Direct GHG Emissions Intensity (kgCO2e/ft2),Direct Greenhouse Gas (GHG) Emissions Intensity,Direct GHG Emissions Intensity (kgCO2e/ft2),directGHGEmissionsIntensity,float,
Distribution Center - Gross Floor Area (ft2),Component Non-refrigerated Warehouse Gross Floor Area,Distribution Center - Gross Floor Area (ft2),distributionCenterGrossFloorArea,float,
Distribution Center - Number of Walk-in Refrigeration/Freezer Units,Component Non-refrigerated Warehouse Refrigeration Walk-in Quantity,Distribution Center - Number of Walk-in Refrigeration/Freezer Units,distributionCenterNumberOfWalkinRefrigerationFreezerUnits,float,
Distribution Center - Number of Workers on Main Shift,Component Non-refrigerated Warehouse Workers on Main Shift Occupant Quantity,Distribution Center - Number of Workers on Main Shift,distributionCenterNumberOfWorkersOnMainShift,float,
Distribution Center - Percent That Can Be Cooled,Distribution Center - Percent That Can Be Cooled,Distribution Center - Percent That Can Be Cooled,distributionCenterPercentThatCanBeCooled,string,
Distribution Center - Percent That Can Be Heated,Distribution Center - Percent That Can Be Heated,Distribution Center - Percent That Can Be Heated,distributionCenterPercentThatCanBeHeated,string,
"Distribution Center - Walk-in Refrigeration Density (Number per 1,000 ft2)","Distribution Center - Walk-in Refrigeration Density (Number per 1,000 ft2)","Distribution Center - Walk-in Refrigeration Density (Number per 1,000 ft2)",distributionCenterWalkinRefrigerationDensity,float,
Distribution Center - Weekly Operating Hours,Component Non-refrigerated Warehouse Business Average Weekly Hours,Distribution Center - Weekly Operating Hours,distributionCenterWeeklyOperatingHours,float,
"Distribution Center - Worker Density (Number per 1,000 ft2)","Distribution Center - Worker Density (Number per 1,000 ft2)","Distribution Center - Worker Density (Number per 1,000 ft2)",distributionCenterWorkerDensity,float,
District Chilled Water Cost ($),District Chilled Water Resource Cost,District Chilled Water Cost ($),energyCostDistrictChilledWater,float,
District Chilled Water Use (kBtu),District Chilled Water kBtu Resource Use,District Chilled Water Use (kBtu),siteEnergyUseDistrictChilledWater,float,
District Hot Water Cost ($),District Hot Water Resource Cost,District Hot Water Cost ($),energyCostDistrictHotWater,float,
District Hot Water Use (kBtu),District Host Water kBtu Resource Use,District Hot Water Use (kBtu),siteEnergyUseDistrictHotWater,float,
,Building District of Columbia Building Unique ID Identifier Value,District of Columbia Building Unique ID,,string,
,Premises District of Columbia Real Property Unique ID Identifier Value,District of Columbia Real Property Unique ID,,string,
District Steam Cost ($),District Steam Resource Cost,District Steam Cost ($),energyCostDistrictSteam,float,
District Steam Use (kBtu),District Steam kBtu Resource Use,District Steam Use (kBtu),siteEnergyUseDistrictSteam,float,
Drinking Water Treatment & Distribution - Average Flow (MGD),Component Drinking Water Treatment and Distribution Daily Draw Mgal/d Consumption Rate,Drinking Water Treatment & Distribution - Average Flow (MGD),drinkingWaterTreatmentDistributionAverageFlow,float,
Drinking Water Treatment & Distribution - Gross Floor Area (ft2),Component Drinking Water Treatment and Distribution Gross Floor Area,Drinking Water Treatment & Distribution - Gross Floor Area (ft2),drinkingWaterTreatmentDistributionGrossFloorArea,float,
eGRID Output Emissions Rate (kgCO2e/MBtu),EPA (US Environmental Protection Agency) Greenhouse Gas (GHG) Emissions Intensity,eGRID Output Emissions Rate (kgCO2e/MBtu),egridOutputEmissionsRate,float,
eGRID Subregion,eGRID Region Code,eGRID Subregion,regionalPowerGrid,string,
Electric Distribution Utility,Electric Distribution Utility (EDU),Electric Distribution Utility,electricDistributionUtility,string,
Electricity (Grid Purchase) Cost ($),Electricity Utility Provided Resource Cost,Electricity (Grid Purchase) Cost ($),energyCostElectricityGridPurchase,float,
Electricity Use - Grid Purchase (kBtu),Electricity kBtu Utility Provided Resource Use,Electricity Use - Grid Purchase (kBtu),siteEnergyUseElectricityGridPurchase,float,
Electricity Use - Grid Purchase (kWh),Electricity kWh Utility Provided Resource Use,Electricity Use - Grid Purchase (kWh),siteEnergyUseElectricityGridPurchaseKwh,float,
Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kBtu),Electricity kBtu Utility Provided Onsite Renewable Resource Use,Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kBtu),siteEnergyUseElectricityGridPurchaseAndOnsite,float,
Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kWh),Electricity kWh Utility Provided Onsite Renewable Resource Use,Electricity Use - Grid Purchase and Generated from Onsite Renewable Systems (kWh),siteEnergyUseElectricityGridPurchaseAndOnsiteKwh,float,
Electricity Use - Generated from Onsite Renewable Systems (kWh),Electricity Onsite Renewable kWh Resource Use,Electricity Use � Generated from Onsite Renewable Systems (kWh),onSiteRenewableSystemGeneration,float,
Electricity Use - Generated from Onsite Renewable Systems and Exported (kWh),Onsite Renewable System Electricity Exported,Electricity Use � Generated from Onsite Renewable Systems and Exported (kWh),onSiteRenewableSystemElectricityExported,float,
Electricity Use - Generated from Onsite Renewable Systems and Used Onsite (kBtu),Electricity kBtu Utility Provided Onsite Renewable Onsite Resource Use,Electricity Use � Generated from Onsite Renewable Systems and Used Onsite (kBtu),siteEnergyUseElectricityOnsiteUsedOnsite,float,
Electricity Use - Generated from Onsite Renewable Systems and Used Onsite (kWh),Electricity kWh Utility Provided Onsite Renewable Onsite Resource Use,Electricity Use � Generated from Onsite Renewable Systems and Used Onsite (kWh),siteEnergyUseElectricityOnsiteUsedOnsiteKwh,float,
"Enclosed Mall - Computer Density (Number per 1,000 ft2)",,"Enclosed Mall - Computer Density (Number per 1,000 ft2)",enclosedMallComputerDensity,float,
Enclosed Mall - Gross Floor Area (ft2),Component Enclosed Mall Gross Floor Area,Enclosed Mall - Gross Floor Area (ft2),enclosedMallGrossFloorArea,float,
Enclosed Mall - Number of Computers,Component Enclosed Mall Computer Quantity,Enclosed Mall - Number of Computers,enclosedMallNumberOfComputers,float,
Enclosed Mall - Number of Workers on Main Shift,Component Enclosed Mall Workers on Main Shift Occupant Quantity,Enclosed Mall - Number of Workers on Main Shift,enclosedMallNumberOfWorkersOnMainShift,float,
Enclosed Mall - Weekly Operating Hours,Component Enclosed Mall Business Average Weekly Hours,Enclosed Mall - Weekly Operating Hours,enclosedMallWeeklyOperatingHours,float,
"Enclosed Mall - Worker Density (Number per 1,000 ft2)",,"Enclosed Mall - Worker Density (Number per 1,000 ft2)",enclosedMallWorkerDensity,float,
Quality Alert-Energy Alerts,,Energy Alerts,energyAlerts,string,
Energy Baseline Date,Baseline Status Timestamp,Energy Baseline Date,energyBaselineDate,date,
Energy Cost ($),Energy Cost,Energy Cost ($),energyCost,float,
Energy Cost Intensity ($),Energy Cost Intensity,Energy Cost Intensity ($/ft2),energyCostIntensity,float,
,Current Status Timestamp,Energy Current Date,energyCurrentDate,date,
ENERGY STAR Certification - Application Status,ENERGY STAR Certification Assessment Application Status,ENERGY STAR Certification - Application Status,energyStarCertificationApplicationStatus,string,
ENERGY STAR Certification - Eligibility,ENERGY STAR Certification Assessment Eligibility,ENERGY STAR Certification - Eligibility,energyStarCertificationEligibility,string,
ENERGY STAR Certification - Last Approval Date,ENERGY STAR Certification Assessment Last Approval Date,ENERGY STAR Certification - Last Approval Date,energyStarCertificationLastApprovalDate,date,
ENERGY STAR Certification - Next Eligible Date,ENERGY STAR Certification Assessment Next Eligible Date,ENERGY STAR Certification - Next Eligible Date,energyStarCertificationNextEligibleDate,date,
ENERGY STAR Certification - Profile Published,ENERGY STAR Certification Assessment Profile,ENERGY STAR Certification - Profile Published,energyStarCertificationProfilePublished,string,
ENERGY STAR Certification - Year(s) Certified,ENERGY STAR Certification Assessment Year,ENERGY STAR Certification - Year(s) Certified,energyStarCertificationYears,date,
ENERGY Star Score,ENERGY STAR Score Assessment Metric Value,ENERGY STAR Score,score,float,
"Energy/Power Station - Computer Density (Number per 1,000 ft2)",,"Energy/Power Station - Computer Density (Number per 1,000 ft2)",energyPowerStationComputerDensity,float,
Energy/Power Station - Gross Floor Area (ft2),Component Energy Generation Plant Gross Floor Area,Energy/Power Station - Gross Floor Area (ft2),energyPowerStationGrossFloorArea,float,
Energy/Power Station - Number of Computers,Component Energy Generation Plant Computer Quantity,Energy/Power Station - Number of Computers,energyPowerStationNumberOfComputers,float,
Energy/Power Station - Number of Workers on Main Shift,Component Energy Generation Plant Workers on Main Shift Occupant Quantity,Energy/Power Station - Number of Workers on Main Shift,energyPowerStationNumberOfWorkersOnMainShift,float,
Energy/Power Station - Weekly Operating Hours,Component Energy Generation Plant Business Average Weekly Hours,Energy/Power Station - Weekly Operating Hours,energyPowerStationWeeklyOperatingHours,float,
"Energy/Power Station - Worker Density (Number per 1,000 ft2)",,"Energy/Power Station - Worker Density (Number per 1,000 ft2)",energyPowerStationWorkerDensity,float,
,Alternative Water Generated On-Site Indoor Derivation Method,Estimated Data Flag -  Alternative Water Generated On-Site � Indoor Use,estimatedDataFlagAlternativeWaterGeneratedOnSiteIndoorUse,float,
,Alternative Water Generated On-Site Outdoor Derivation Method,Estimated Data Flag -  Alternative Water Generated On-Site � Outdoor Use,estimatedDataFlagAlternativeWaterGeneratedOnSiteOutdoorUse,float,
,IT Derivation Method,Estimated Data Flag -  Data Center IT Equipment Input Site Energy,estimatedDataFlagDataCenterItEquipmentInputSiteEnergy,float,
,Power Distribution Unit (PDU) Input Energy Derivation Method,Estimated Data Flag -  Data Center PDU Input Site Energy,estimatedDataFlagDataCenterPduInputSiteEnergy,float,
,Power Distribution Unit (PDU) Output Energy Derivation Method,Estimated Data Flag -  Data Center PDU Output Site Energy,estimatedDataFlagDataCenterPduOutputSiteEnergy,float,
,UPS Output Site Energy Derivation Method,Estimated Data Flag -  Data Center UPS Output Site Energy,estimatedDataFlagDataCenterUpsOutputSiteEnergy,float,
,Municipally Supplied Potable Water Indoor Derivation Method,Estimated Data Flag -  Municipally Supplied Potable Water � Indoor Use,estimatedDataFlagMunicipallySuppliedPotableWaterIndoorUse,float,
,Municipally Supplied Potable Water Outdoor Derivation Method,Estimated Data Flag -  Municipally Supplied Potable Water � Outdoor Use,estimatedDataFlagMunicipallySuppliedPotableWaterOutdoorUse,float,
,Municipally Supplied Reclaimed Water Indoor Derivation Method,Estimated Data Flag -  Municipally Supplied Reclaimed Water � Indoor Use,estimatedDataFlagMunicipallySuppliedReclaimedWaterIndoorUse,float,
,Municipally Supplied Reclaimed Water Outdoor Derivation Method,Estimated Data Flag -  Municipally Supplied Reclaimed Water � Outdoor Use,estimatedDataFlagMunicipallySuppliedReclaimedWaterOutdoorUse,float,
,Water Indoor Derivation Method,Estimated Data Flag -  Other Water Sources � Indoor Use,estimatedDataFlagOtherWaterSourcesIndoorUse,string,
,Water Outdoor Derivation Method,Estimated Data Flag -  Other Water Sources � Outdoor Use,estimatedDataFlagOtherWaterSourcesOutdoorUse,string,
,Alternative Water Generated On-Site Indoor Outdoor Other Derivation Method,Estimated Data Flag - Alternative Water Generated On-Site: Combined Indoor/Outdoor or Other Use,estimatedDataFlagAlternativeWaterGeneratedOnSiteAllUse,string,
,Coal (anthracite) Derivation Method,Estimated Data Flag - Coal (anthracite),estimatedDataFlagCoalAnthracite,string,
,Coal (bituminous) Derivation Method,Estimated Data Flag - Coal (bituminous),estimatedDataFlagCoalBituminous,string,
,Coke Derivation Method,Estimated Data Flag - Coke,estimatedDataFlagCoke,string,
,Diesel Derivation Method,Estimated Data Flag - Diesel,estimatedDataFlagDiesel,string,
,District Chilled Water Derivation Method,Estimated Data Flag - District Chilled Water,estimatedDataFlagDistrictChilledWater,string,
,District Hot Water Derivation Method,Estimated Data Flag - District Hot Water,estimatedDataFlagDistrictHotWater,string,
,District Steam Derivation Method,Estimated Data Flag - District Steam,estimatedDataFlagDistrictSteam,string,
,Electricity Utility provided Derivation Method,Estimated Data Flag - Electricity (Grid Purchase),estimatedDataFlagElectricityGridPurchase,string,
,Electricity Photovoltaic Onsite renewable Derivation Method,Estimated Data Flag - Electricity (On-Site Solar),estimatedDataFlagElectricityOnsiteSolar,string,
,Fuel Oil No-1 Derivation Method,Estimated Data Flag - Fuel Oil (No. 1),estimatedDataFlagFuelOilNo1,string,
,Fuel Oil No-2 Derivation Method,Estimated Data Flag - Fuel Oil (No. 2),estimatedDataFlagFuelOilNo2,string,
,Fuel Oil No-4 Derivation Method,Estimated Data Flag - Fuel Oil (No. 4),estimatedDataFlagFuelOilNo4,string,
,Fuel Oil No-5 and No-6 Derivation Method,Estimated Data Flag - Fuel Oil (No. 5 and No. 6),estimatedDataFlagFuelOilNo5AndNo6,string,
,Kerosene Derivation Method,Estimated Data Flag - Kerosene,estimatedDataFlagKerosene,string,
,Liquid Propane Derivation Method,Estimated Data Flag - Liquid Propane,estimatedDataFlagLiquidPropane,string,
,Municipally Supplied Potable Water Indoor Outdoor Other Derivation Method,Estimated Data Flag - Municipally Supplied Potable Water: Combined Indoor/Outdoor or Other Use,estimatedDataFlagMunicipallySuppliedPotableWaterAllUse,string,
,Municipally Supplied Reclaimed Water Indoor Outdoor Other Derivation Method,Estimated Data Flag - Municipally Supplied Reclaimed Water: Combined Indoor/Outdoor or Other Use,estimatedDataFlagMunicipallySuppliedReclaimedWaterAllUse,string,
,Natural Gas Derivation Method,Estimated Data Flag - Natural Gas,estimatedDataFlagNaturalGas,string,
,Other Derivation Method,Estimated Data Flag - Other,estimatedDataFlagOther,string,
,Water Indoor Outdoor Other Derivation Method,Estimated Data Flag - Other Water Sources: Combined Indoor/Outdoor or Other Use,estimatedDataFlagOtherWaterSourcesAllUse,string,
,Flow Derivation Method,Estimated Data Flag - Plant Flow Meter,estimatedDataFlagPlantFlowMeter,string,
,Propane Derivation Method,Estimated Data Flag - Propane,estimatedDataFlagPropane,string,
,Wood Derivation Method,Estimated Data Flag - Wood,estimatedDataFlagWood,string,
"Estimated Savings from Energy Projects, Cumulative ($)",Total Resource and Non-resource Estimated Non-resource Cost Benefits,"Estimated Savings from Energy Projects, Cumulative ($)",estimatedSavingsFromUpgradesCumulativeDollars,float,
"Estimated Savings from Energy Projects, Cumulative ($/ft2)",Total Resource and Non-resource Estimated Non-resource Cost Benefit Intensity,"Estimated Savings from Energy Projects, Cumulative ($/ft2)",estimatedSavingsFromUpgradesCumulativeDollarsPerSqft,float,
"Fast Food Restaurant - Computer Density (Number per 1,000 ft2)",,"Fast Food Restaurant - Computer Density (Number per 1,000 ft2)",fastFoodRestaurantComputerDensity,float,
Fast Food Restaurant - Gross Floor Area (ft2),Component Fast Food Service Gross Floor Area,Fast Food Restaurant - Gross Floor Area (ft2),fastFoodRestaurantGrossFloorArea,float,
Fast Food Restaurant - Number of Computers,Component Fast Food Service Computer Quantity,Fast Food Restaurant - Number of Computers,fastFoodRestaurantNumberOfComputers,float,
Fast Food Restaurant - Number of Workers on Main Shift,Component Fast Food Service Workers on Main Shift Occupant Quantity,Fast Food Restaurant - Number of Workers on Main Shift,fastFoodRestaurantNumberOfWorkersOnMainShift,float,
