Entity Name,Attribute Name,Description and Unit,Temp Name,Unit,Enum Entries,Data Type,Priority
,Property Management E-Mail Address,E-mail address for property management company.,PropertyManagementEMailAddress,,,string,4
,Agency,"Federal agency, required to designate a facility as a federal property in Portfolio Manager.",Agency,,,string,4
,Department Or Region,"Federal department/region, required to designate a facility as a federal property in Portfolio Manager.",DepartmentOrRegion,,,string,4
,PM Unique Building Identifier,Portfolio Manager Building identifier,PMUniqueBuildingIdentifier,,,string,4
,Year PM Benchmarked,Full year prior to Audit that the building was benchmarked in Portfolio Manager. [year],YearPMBenchmarked,,,int,4
,Federal Real Property ID,"Federal real property ID, required to designate a facility as a federal property in Portfolio Manager.",FederalRealPropertyID,,,string,4
,Administrator,Designates this Portfolio Manager account as administrator over other customer accounts.,Administrator,,,boolean,4
,Shared By,Designates the original Portfolio Manager account who has shared this facility data.,SharedBy,,,string,4
,PM Last Modified Date,Last date of Portfolio Manager data entry.,PMLastModifiedDate,,,date,4
,Eligibility For ENERGYSTAR,Indicator signifying whether or not a facility is eligible for the ENERGY STAR Label.,EligibilityForENERGYSTAR,,,boolean,4
,ENERGYSTAR ApplicationStatus,Status of Statement of Energy Perfromance (SEP) and ENERGY STAR application.,ENERGYSTARApplicationStatusEnum,,Application  has not yet been started; No SEP has been generated; SEP has been generated; SEP Expired; Application Submitted to EPA; Pending EPA receipt; Pending EPA decicion; Application on hold; Application Approved; Application expired,ENUM,4
,Space Use Alerts,Portfolio Manger alerting that space types within the same facility are incompatible.,SpaceUseAlerts,,,string,4
,Year Or YearsLabeled,The year or years in which the facility was ENERGY STAR Labeled.,YearOrYearsLabeled,,,int,4
,Approval Date _ LastENERGYSTAR,The period ending date associated with last (i.e. most recent) ENERGY STAR Label received.,ApprovalDateLastENERGYSTAR,,,date,4
,Baseline Rating,"A facility's baseline estimated energy use rating, as calculated by Portfolio Manager.",BaselineRating,,,int,4
,Target Rating,ENERGY STAR target rating selected by Portfolio Manager user.,TargetRating,,,int,4
,Building Profile Status,The status of the building profile submission process for Portfolio Manager.,BuildingProfileStatusEnum,,Draft; Received; Under Review; On Hold; Reviewed and Approved; Reviewed and Not Approved,ENUM,4
,Federal Sustainability Checklist Completion Percentage,Percentage of the Federal High Performance Sustainability Checklist that has been completed for federal building in Portfolio Manager. ,FederalSustainabilityChecklistCompletionPercentage,,,double,4
,Notes,Facility level details about the building in Portfolio Manager.,Notes,,,string,4
,Service And Product Provider,The ABS Service and Product Provider associated with this Portfolio Manager Facility.,ServiceAndProductProvider,,,string,4
,Activity Area,,ActivityArea,,,Entity,5
,Air Distribution,,AirDistribution,,,Entity,5
,Conveyance,,Conveyance,,,Entity,5
,Cooking,,Cooking,,,Entity,5
,Cooling,,Cooling,,,Entity,5
,Dishwasher,,Dishwasher,,,Entity,5
,Energy Storage,,EnergyStorage,,,Entity,5
,Energy Use,,EnergyUse,,,Entity,5
,Fenestration,,Fenestration,,,Entity,5
,Foundation,,Foundation,,,Entity,5
,General Controls And Operations,,GeneralControlsAndOperations,,,Entity,5
,Heating,,Heating,,,Entity,5
,IT System,,ITSystem,,,Entity,5
,Laundry,,Laundry,,,Entity,5
,Lighting,,Lighting,,,Entity,5
,Measures,,Measures,,,Entity,5
,On Site Generation,,OnSiteGeneration,,,Entity,5
,Other HVAC,,OtherHVAC,,,Entity,5
,Pool,,Pool,,,Entity,5
,Process Load,,ProcessLoad,,,Entity,5
,Refrigeration,,Refrigeration,,,Entity,5
,Roof Or Ceiling,,RoofOrCeiling,,,Entity,5
,Service Hot Water,,ServiceHotWater,,,Entity,5
,Wall,,Wall,,,Entity,5
,Zonal Cooling,,ZonalCooling,,,Entity,5
,Zonal Heating,,ZonalHeating,,,Entity,5
,Primary Facility Type,Primary use type in at least half of the building floor area.,PrimaryFacilityTypeEnum,,Vacant; Commercial - Uncategorized; Office - Uncategorized; Office  - Administrative or Professional; Office - Bank or other financial; Office - Government; Office - Medical non diagnostic; Office - Mixed use; Office - Other; Laboratory; Warehouse - Uncategorized; Warehouse - Refrigerated; Warehouse - Non-refrigerated; Warehouse - Distribution or Shipping center; Warehouse - Self-storage; Food Sales; Convenience store; Convenience store with gas station; Grocery store or food market; Public Safety - Uncategorized; Public Safety - Courthouse; Public Safety - Fire or police station; Public Safety - Jailhouse; Public Safety - Penitentiary; Health Care - Uncategorized; Health Care - Outpatient Uncategorized; Health Care - Outpatient Diagnostic; Health Care - Outpatient Clinic; Health Care - Inpatient; Religious worship; Public Assembly - Uncategorized; Public Assembly - Entertainment/culture; Public Assembly - Movie Theater; Public Assembly - Drama theater; Public Assembly - Large Hall; Public Assembly - Library; Public Assembly - Recreation; Public Assembly - Arena; Public Assembly - Stadium; Public Assembly - Social/meeting; Public Assembly - Funeral home; Public Assembly - Pool; Public Assembly - Other; Education - Uncategorized; Education - College or university; Education - Elementary or middle school; Education - High school; Education - Preschool or daycare; Education - Other classroom; Food Service - Uncategorized; Food Service - Fast food; Food Service  - Restaurant or cafeteria; Food Service - Bakery; Food Service  - Other; Nursing Home; Lodging - Uncategorized; Lodging - Dormitory or fraternity/sorority; Lodging -  Hotel; Lodging - Motel or inn; Lodging - Other; Retail - Uncategorized; Retail - Strip shopping mall; Retail - Enclosed mall; Retail - Other than mall; Retail - Small Box (< 50K sf); Retail - Big Box (> 50K sf); Retail - Vehicle dealership/showroom; Service - Uncategorized; Service -  Post office or postal center; Service -  Repair shop; Service - Vehicle service/repair shop; Service - Vehicle storage; Service  - Industrial shop; Service - Dry-cleaning or Laundry; Service - Art/Video/Photography Studio; Service - Other service; Parking Garage; Transportation Terminal; Industrial; Agricultural; Data Center; Residential; Other,ENUM,1
,Complete Total Energy,"True if facility record includes all energy types used at the facility, false otherwise. E.g. field is false if natural gas is missing.",CompleteTotalEnergy,,,boolean,1
ActivityArea,,,,,,,
,Name,Name of the entity,Name,,,string,1
,ID,Unique ID,ID,,,string,1
,Activity Type,A space or area within a building designated for a particular activity,ActivityTypeEnum,,Vacant; Commercial - Uncategorized; Office - Uncategorized; Office  - Administrative or Professional; Office - Bank or other financial; Office - Government; Office - Medical non diagnostic; Office - Mixed use; Office - Other; Laboratory; Warehouse - Uncategorized; Warehouse - Refrigerated; Warehouse - Non-refrigerated; Warehouse - Distribution or Shipping center; Warehouse - Self-storage; Food Sales; Convenience store; Convenience store with gas station; Grocery store or food market; Public Safety - Uncategorized; Public Safety - Courthouse; Public Safety - Fire or police station; Public Safety - Jailhouse; Public Safety - Penitentiary; Health Care - Uncategorized; Health Care - Outpatient Uncategorized; Health Care - Outpatient Diagnostic; Health Care - Outpatient Clinic; Health Care - Inpatient; Religious worship; Public Assembly - Uncategorized; Public Assembly - Entertainment/culture; Public Assembly - Movie Theater; Public Assembly - Drama theater; Public Assembly - Large Hall; Public Assembly - Library; Public Assembly - Recreation; Public Assembly - Arena; Public Assembly - Stadium; Public Assembly - Social/meeting; Public Assembly - Funeral home; Public Assembly - Pool; Public Assembly - Other; Education - Uncategorized; Education - College or university; Education - Elementary or middle school; Education - High school; Education - Preschool or daycare; Education - Other classroom; Food Service - Uncategorized; Food Service - Fast food; Food Service  - Restaurant or cafeteria; Food Service - Bakery; Food Service  - Other; Nursing Home; Lodging - Uncategorized; Lodging - Dormitory or fraternity/sorority; Lodging -  Hotel; Lodging - Motel or inn; Lodging - Other; Retail - Uncategorized; Retail - Strip shopping mall; Retail - Enclosed mall; Retail - Other than mall; Retail - Small Box (< 50K sf); Retail - Big Box (> 50K sf); Retail - Vehicle dealership/showroom; Service - Uncategorized; Service -  Post office or postal center; Service -  Repair shop; Service - Vehicle service/repair shop; Service - Vehicle storage; Service  - Industrial shop; Service - Dry-cleaning or Laundry; Service - Art/Video/Photography Studio; Service - Other service; Parking Garage; Transportation Terminal; Industrial; Agricultural; Data Center; Residential; Other,ENUM,1
,Gross Floor Area,"Total floor area of all floors of a building calculated with the external dimensions of the enclosing fixed walls of the building including structures, partitions, corridors, stairs, and conditioned below-grade spaces. Note: All parking areas (enclosed and non-enclosed) should be excluded; atrium should only include the base floor area that it occupies. [square feet]",GrossFloorArea,,,double,1
,Heated Floor Area,Floor area of all heated spaces in the activity area. [square feet],HeatedFloorArea,,,double,2
,Cooled Floor Area,Floor area of all spaces that are cooled. [square feet],CooledFloorArea,,,double,2
,Number Of Floors,Number of floors in the facility or actvity area.,NumberOfFloors,,,int,2
,Floors Above Ground,Number of floors which are above ground.,FloorsAboveGround,,,int,2
,Floors Below Ground,Number of floors which are underground pertaining to the activity area.,FloorsBelowGround,,,int,2
,Floor Height,Average height of the floor(s) pertaining to the activity area. [feet],FloorHeight,,,double,2
,Number Of Units,"Number of individual units, such as retail units, in the activity area.",NumberOfUnits,,,int,2
,Seating Capacity,"The number of people who can be seated in a specific space, either in terms of the physical space available, or in terms of limitations set by law.",SeatingCapacity,,,int,2
,Number Of Occupants,Number of occupants in the facility or activity area.,NumberOfOccupants,,,int,2
,Number Of Guest Rooms,Number of rooms allocated for guest use in the activity area. (Typically applicable to lodging).,NumberOfGuestRooms,,,int,2
,Number Of Licensed Beds,The number of beds for which a facility holds a license to operate in the activity area. (Typically applicable to health care).,NumberOfLicensedBeds,,,int,2
,Average Weekly Operating Hours,Average weekly operating hours.,AverageWeeklyOperatingHours,,,double,1
,Average Weeks Per Year In Use,Average number of weeks per year that the facility or activity area is occupied.,AverageWeeksPerYearInUse,,,double,2
,Activity Area Name,Name or identifying description of activity area.,ActivityAreaName,,,string,3
,Metered Space,"True if activity area is individually metered, false otherwise.",MeteredSpace,,,boolean,3
,Exterior Entrance To The Public,"True if facility has an exterior entrance for public use, false otherwise.",ExteriorEntranceToThePublic,,,boolean,3
,Enclosed Floor Area,Floor area of all spaces enclosed by walls. [square feet],EnclosedFloorArea,,,double,3
,Non-Enclosed Floor Area (w/roof),Floor area of all spaces that are not enclosed by walls but do have a roof. [square feet],NonEnclosedFloorAreaWithRoof,,,double,3
,Open Floor Area (w/o roof),Floor area of all spaces that are not enclosed by walls and do not have roofs. [square feet],OpenFloorAreaWithoutRoof,,,double,3
,Conditioned Floor Area,Floor area of all spaces that are either heated or cooled. [square feet],ConditionedFloorArea,,,double,3
,Office Air-Conditioned,"True if office space is air-conditioned, false otherwise.",OfficeAirConditioned,,,boolean,3
,Office Heated,"True if office space is heated, false otherwise.",OfficeHeated,,,boolean,3
,Senior Care Facility Total Resident Capacity,Total resident capacity in senior care facility.,SeniorCareFacilityTotalResidentCapacity,,,int,3
,Occupant Density,Number of occupants per 100 square feet.,OccupantDensity,,,double,3
,Hours Per Day Guests On Site,Hours per day that guests are on site.,HoursPerDayGuestsOnSite,,Less than 15; Between 15 and 19; More than 20,ENUM,3
,Number Of Months In Use,Number of months the building is in full operational mode.,NumberOfMonthsInUse,,,double,3
,Average Occupancy Percentage,Percentage of occupancy. [%],AverageOccupancyPercentage,,,double,3
,Room Density,"Number of rooms per 1,000 square feet.",RoomDensity,,,double,3
,Number Of Businesses,Number of distinct businesses operating in the facility.,NumberOfBusinesses,,,int,3
,Weekly Hours Of Parking Access,Number of hours parking is accessible in an average week.,WeeklyHoursOfParkingAccess,,,double,3
,K - 12 School - Open Weekends,True if the school facility is open on weekends; false otherwise.,K12SchoolOpenWeekends,,,boolean,3
,Floor Area Of Full-service Spas,Floor area of full-service spas. [square feet],FloorAreaOfFullServicesPas,,,double,3
,Floor Area Of Gym/Fitness Center,Floor area of gym or fitness center. [square feet],FloorAreaOfGymOrFitnessCenter,,,double,3
,Dorm Has Computer Lab,"True if dormitory includes a computer lab, false otherwise.",DormHasComputerLab,,,boolean,3
,Hospital - Tertiary Care?,"True if tertiary care is offered at the hospital, false otherwise.",HospitalTertiaryCare,,,boolean,3
,Connected Load,Connected load from activity area-specific equipment. [kW],,,,double,3
Lighting,,,,,,,
,Name,Name of the entity,Name,,,string,1
,ID,Unique ID,ID,,,string,1
,Lighting Type,Type of artificial source of light.,LightingTypeEnum,,Incandescent; Fluorescent - Uncategorized; Fluorescent - T5; Fluorescent - T8; Fluorescent - Super T8; Fluorescent - T12; Compact Fluorescent; High intensity discharge (HID); Halogen; LED; Mercury Vapor; Sodium; Sodium - High Pressure; Sodium - Low Pressure; Metal Halide; Other Or Combination; Unknown,ENUM,1
,Ballast Type,Type of ballast: a piece of equipment required to control the starting and operating voltages of electrical gas discharge lights.,BallastTypeEnum,,Electronic; Magnetic; Instant start; Rapid Start; Programmed Start; Other Or Combination; Unknown,ENUM,2
,Lighting Control Type,Type of control used to manage lighting.,LightingControlTypeEnum,,Daylight Dimming; Occupancy Sensors; Vacancy Sensors; Manual Dimming; Bi-level Control; Timers; Manual; Advanced Controls; EMCS; Other Or Combination; Unknown,ENUM,1
,Installed Power,Installed power for this system.,InstalledPower,,,double,2
,Percentage Of Total Installed Power,Percent this system is of total installed power. [%],PercentageOfTotalInstalledPower,,,double,2
,Percentage Of Total Floor Area Served,The percentage of facility square footage served by system. [%],PercentageOfTotalFloorAreaServed,,,double,2
,Outside Lighting,"True if lighting system is primarily for outside lighting, false otherwise.",OutsideLighting,,,boolean,2
,Lighting Efficacy,Luminous efficacy of lighting. [lm/W],LightingEfficacy,,,double,3
,Specular Reflectors,"True if fixtures have specular reflectors, false otherwise.",SpecularReflectors,,,boolean,3
,Percent Lit When Open,Percentage of square footage that is lit electrically during usual operating hours. [%],PercentLitWhenOpen,,,double,3
,Percent Lit When Closed,The percentage of square footage that is lit electrically during all hours other than the usual operating hours. [%],PercentLitWhenClosed,,,double,3
,Lighting Daily Hours,Average hours per day lights are on.,LightingDailyHoursEnum,,1 to 4 hours per day; 4 to 12 hours per day; More than 12 hours per day; All day; Unknown,ENUM,3
AirDistribution,,,,,,,
,Name,Name of the entity,Name,,,string,1
,ID,Unique ID,ID,,,string,1
,Configuration,Basic configuration of air-distribution equipment.,ConfigurationEnum,,Packaged; Built-up; Split; Other; Unknown,ENUM,1
,Flow Control,Type of air flow control.,FlowControlEnum,,Variable Volume; Constant Volume; Other; Unknown,ENUM,1
,Duct Configuration,Configuration of ducts.,DuctConfigurationEnum,,Single; Dual; Three; Unitary; Other; Unknown,ENUM,1
,Heating Source,Source of heating in air-distribution system.,HeatingSourceEnum,,Hydronic; Steam; Electric Resistance; Furnace; Gas; Other; Unknown,ENUM,1
,Cooling Source,Source of cooling in air-distribution system.,CoolingSourceEnum,,Direct Expansion; Evaporative; Hydronic; Other; Unknown,ENUM,1
,Preheat Source,Source of preheating in air-distribution system.,PreheatSourceEnum,,Hydronic; Furnace; Electric Resistance; Other; Unknown,ENUM,2
,Humidification,Humidification type in air-distribution system.,HumidificationEnum,,Steam; Water Spray; Other; Unknown,ENUM,2
,Dehumidification,Dehumidification type in air-distribution system.,DehumidificationEnum,,Desiccant Wheel; Liquid Desiccant; Other; Unknown,ENUM,2
,Quantity,Number of systems of this type.,Quantity,,,int,2
,Size,System fan size. [cfm],SizeFlowRate,,,double,2
,Power,Fan power. [kW],Power,,,double,2
,Year Of Manufacture,Year system was manufactured.,YearOfManufacture,,,int,1
,Primary Air System,True if the system is the primary air-distribution equipment for the building.,PrimaryAirSystem,,,boolean,2
,Percent Of Total Installed Capacity,Percent this system is of total installed capacity. [%],PercentOfTotalInstalledCapacity,,,double,2
,Percent Of Floor Area Served,The percentage of a facility�s square footage served by system. [%],PercentOfFloorAreaServed,,,double,2
,Static Pressure Reset Control,"True if there is static pressure reset, false otherwise.",StaticPressureResetControl,,,boolean,2
,Supply Air Temperature Reset Control,"True if there is supply air temperature reset, false otherwise.",SupplyAirTemperatureResetControl,,,boolean,2
,Efficiency,Efficiency of system.,Efficiency,,,double,1
,Efficiency Unit,Unit used to measure efficiency.,EfficiencyUnitsEnum,,COP; AFUE; %; W/cfm; EER; SEER; HSPF; kW/ton; Energy Factor; Other; Unknown,ENUM,1
,Fan Motor Efficiency,Efficiency of the fan's motor.,FanMotorEfficiency,,,double,1
,Economizer,Type of air economizer system in this air-distribution system.,EconomizerEnum,,Uncategorized; Dry-bulb - Uncategorized; Dry-Bulb - Fixed; dry-Bulb - Differential; Enthalpy - Uncategorized; Enthalpy - Fixed; Enthalpy - Differential; Demand Controlled Ventilation; Nonintegrated; None; Unknown,ENUM,1
,Minimum Outside Air Percentage,Minimum outside air percentage allowed. [%],MinimumOutsideAirPercentage,,,double,2
,Fan Control Type,Type of fan control.,FanControlTypeEnum,,Outlet Damper; Bypass Damper; Inlet Guide Vanes; VFD; Constant; Riding Fan Curve; Intermittent; Other/Combination; None; Unknown,ENUM,1
,Heat Recovery Type,Type of heat recovery within the air distribution equipment.,HeatRecoveryTypeEnum,,Run-Around Coil; Thermal Wheel; Heat Pipe; Air-to-Air Heat Exchanger; Earth-to-Air Heat Exchanger; Earth-to-Water Heat Exchanger; Other; Unknown,ENUM,2
,Heat Recovery Efficiency,Efficiency of heat recovery. [%],HeatRecoveryEfficiency,,,double,2
,Duct Insulation,Overall rating of characteristic.,QualityEnum,,Excellent; Good; Average; Poor; Very Poor; None; Unknown,ENUM,1
,Duct Sealing,Condition of duct sealing.,QualityOfDuctSealingEnum,,Excellent; Good; Average; Poor; Very Poor; None; Unknown,ENUM,2
,Duct Location,Location of equipment or component.,LocationWithinBuildingEnum,,Indoors; Conditioned Space; Unconditioned Space; Outdoors; Closet; Garage; Attic; Basement or Crawlspace; Below Ground; Ground Level; Above Ground; Other; Unknown,ENUM,2
,Duct Insulation R-Value,R-value of duct insulation.,DuctInsulationRValue,,,int,2
,Static Pressure,The designed static pressure for the system. [Pa],StaticPressure,,,double,3
,Zone Count,Number of zones  serviced by the conditioning system.,ZoneCount,,,int,3
,Fan Placement,Placement of fan relative to the air stream.,FanPlacementEnum,,Series; Parallel; Draw Through; Blow Through; Other; Unknown,ENUM,3
,Flow Configuration,Configuration of air flow.,FlowConfigurationEnum,,Stud; Furrdown; Upflow; Downflow; Horizontal; Other; Unknown,ENUM,3
,Duct Type,Type of duct material.,DuctTypeEnum,,Flex - Uncategorized; Grey Flex; Mylor Flex; Duct Board; Sheet Metal; Galvanized; Flexible; Fiberboard; No Ducting; Other Or Combination; Unknown,ENUM,3
,Bucket Type,Bucket type of air distribution equipment.,BucketTypeEnum,,Duct Board; Metal; Other Or Combination; Unknown,ENUM,3
,Duct Pressure Test Leakage (cfm),Duct leakage found from pressure test. Reported in cubic feet per minute. [cfm],DuctPressureTestLeakage,,,double,3
,Duct Pressure Test Leakage (Percentage),Duct leakage found from pressure test. Reported as a percentage. [%],DuctPressureTestLeakageAsPercentage,,,double,3
,Air Distribution Equipment Type,Ventilation equipment utilized in the facility. Allow multi-select.,AirDistributionEquipmetTypeEnum,,Air Handler Units(AHU); Make Up Air Units (MAU); Energy/Heat Recovery Unit (ERV/HRV); Other; Unknown,ENUM,1
,Ventilation Supply Locations,Location that ventilation equipment supplies. Allow multi-select.,VentilationSupplyLocationsEnum,,Corridors; Tenant Spaces; Common Area; Other,ENUM,3
,Exhaust Ventilation Locations,Location where there is exhaust equipment.,ExhaustVentilationLocationsEnum,,Corridors; Bathrooms; Kitchens; Garage; Other,ENUM,3
Heating,,,,,,,
,Name,Name of the entity,Name,,,string,1
,ID,Unique ID,ID,,,string,1
,Heating Type,Type of heating system. This generally refers to central heating equipment. Zonal heating is recorded in a separate data field. ,HeatingTypeEnum,,Furnace; Furnace - Condensing; Boiler - Uncategorized; Boiler - Hot Water; Boiler - Hot Water - Condensing; Boiler - Hot Water - Non-Condensing; Boiler - Steam; Boiler - Steam - Low-Pressure; Boiler - Steam - High-Pressure; Radiator; Central Heating; Heat Pump - Uncategorized; Heat Pump - Ground Source; Heat Pump - Air Source; Heat Pump - Water Loop; Geothermal Heat Pump; District Hot Water; District Steam; Solar Thermal; Induction Unit; Resistance Heating; PTAC; Perimeter Baseboard; Other Or Combination; Unknown; No Heating,ENUM,1
,Burner Type,"Type of burner on boiler, if applicable.",BurnerTypeEnum,,Atmospheric; Power; Sealed Combustion; Sealed Combustion Condensing; Rotary Cup; Not Applicable; Other Or Combination; Unknown,ENUM,1
,Burner Quantity,Number of total burners in this heating equipment.,BurnerQuantity,,,int,3
,Burner Year of Manufacture,Year of manufacture of the burner(s) in the heating equipment.,BurnerYearofManufature,,,int,3
,Fuel,Type of fuel consumed.,FuelEnum,,Electricity; Electricity (Renewable); Natural Gas; Natural Gas (Renewable); Fuel Oil; Fuel Oil No.1; Fuel Oil No.2; Fuel Oil No.4; Fuel Oil No.5 and No.6; District Steam; District hot water; District chilled water ; Solar hot water; Bottled gas (LPG or propane); Propane; Liquid Propane; Kerosene; Diesel; Coal; Coal (anthracite); Coal (bituminous); Coke; Wood; Other Or Combination,ENUM,1
,Quantity,Number of systems of this type.,Quantity,,,int,2
,Capacity,System capacity.,Capacity,,,double,2
,Capacity Unit,Measurement unit for the capacity of the system., CapacityUnitEnum,,Btu; kBtu; kBtu/hour; kW; tons; gallons,ENUM,2
,Year Of Manufacture,Year system was manufactured.,YearOfManufacture,,,int,1
,Primary Heating Equipment,True if the system is the primary heating equipment.,PrimaryHeatingEquipment,,,boolean,2
,Efficiency,Efficiency of system.,Efficiency,,,double,1
,Efficiency Unit,Unit used to measure efficiency.,EfficiencyUnitsEnum,,COP; AFUE; %; W/cfm; EER; SEER; HSPF; kW/ton; Energy Factor; Other; Unknown,ENUM,1
,Percent Of Total Installed Capacity,Percent this system is of total installed capacity. [%],PercentOfTotalInstalledCapacity,,,double,2
,Percent Of Floor Area Served,The percentage of a facility�s square footage served by system. [%],PercentOfFloorAreaServed,,,double,2
,Hot Water Reset Control,Type of control on water reset.,ResetControlEnum,,Seasonal; None; Other; Unknown,ENUM,2
,Control Type,Type of system operation control.,ControlTypeEnum,,Programmable Thermostat; Manual thermostat; Manual Analog Thermostat; Manual Digital Thermostat; Digital Thermostat; On/Off; Timer; Electro-Mechanical; Digital; EMCS; Always On; Other Or Combination; Unknown,ENUM,2
,Distribution Type,Type of distribution. (Allow multi-select),DistributionTypeEnum,,Hot Water Pipes - Primary Distribution; Hot Water Pipes; One Pipe Steam - Primary Distribution; One Pipe Steam; Two Pipe Steam - Primary Distribution; Two Pipe Steam; Air - Primary Distribution; Air; Other - Primary Distribution; Other; Unknown,ENUM,3
,Vacuum Return System,"True if there is a vacuum return system, false otherwise.",VacuumReturnSystem,,,boolean,3
,Input Capacity,Input capacity of equipment. [kBtu/hour],InputCapacity,,,double,3
,Output Capacity,Output capacity of equipment. [horsepower],OutputCapacity,,,double,3
,Location,Location of equipment or component.,LocationWithinBuildingEnum,,Indoors; Conditioned Space; Unconditioned Space;  Outdoors; Closet; Garage; Attic; Basement or Crawlspace; Central Plant - On Site; Central Plant - Off Site; Below Ground; Ground Level; Above Ground; Other; Unknown,ENUM,2
,Draft Type,Draft mechanism used for drawing air through the boiler. ,DraftTypeEnum,,Natural; Mechanical Forced; Mechanical Induced; Other; Unknown,ENUM,3
,Zone Count,Number of zones  serviced by the conditioning system.,ZoneCount,,,int,3
,Exclusive To This Facility,True if the asset is used exclusively for the present facility; false otherwise.,ExclusiveToThisFacility,,,boolean,3
ZonalHeating,,,,,,,
,Name,Name of the entity,Name,,,string,1
,ID,Unique ID,ID,,,string,1
,Zonal Heating Type,Type of equipment used for heating at the zone.,ZonalHeatingTypeEnum,,PTAC; Radiator; Air Handler; Induction Units; VAV Reheat Boxes; CAV Reheat Boxes; Fan Coil Unit; Fan Coil-2 Pipe; Fan Coil-3 Pipe; Fan Coil-4 Pipe; Perimeter Baseboard; Radiant Floor or Ceiling; Low Pressure Under Floor; Pipeless Furnace; Portable Heater; Fireplace; Cookstove; Heating Stove; Built-in Heater; Individual Space Heater; Heat Pump - Uncategorized; Heat Pump - Ground Source; Heat Pump - Air Source; Heat Pump - Water Source; Heat Pump - Packaged Terminal (PTHP); Resistance Heating; Other Or Combination; Unknown,ENUM,1
,Control Type,Type of system operation control.,ControlTypeEnum,,Programmable Thermostat; Manual thermostat; Manual Analog Thermostat; Manual Digital Thermostat; Digital Thermostat; On/Off; Timer; Electro-Mechanical; Digital; EMCS; Always On; Other Or Combination; Unknown,ENUM,2
,Fuel,Type of fuel consumed.,FuelEnum,,Electricity; Electricity (Renewable); Natural Gas; Natural Gas (Renewable); Fuel Oil; Fuel Oil No.1; Fuel Oil No.2; Fuel Oil No.4; Fuel Oil No.5 and No.6; District Steam; District hot water; District chilled water ; Solar hot water; Bottled gas (LPG or propane); Propane; Liquid Propane; Kerosene; Diesel; Coal; Coal (anthracite); Coal (bituminous); Coke; Wood; Other Or Combination,ENUM,1
,Year Of Manufacture,Year system was manufactured.,YearOfManufacture,,,int,1
,Quantity,Number of systems of this type.,Quantity,,,int,2
,Percent Of Total Installed Capacity,Percent this system is of total installed capacity. [%],PercentOfTotalInstalledCapacity,,,double,2
,Percent Of Floor Area Served,The percentage of a facility�s square footage served by system. [%],PercentOfFloorAreaServed,,,double,2
,Input Capacity,Input capacity of equipment. [kBtu/hour],InputCapacity,,,double,3
,Output Capacity,Output capacity of equipment. [horsepower],OutputCapacity,,,double,3
,Efficiency,Efficiency of system.,Efficiency,,,double,1
,Efficiency Unit,Unit used to measure efficiency.,EfficiencyUnitsEnum,,COP; AFUE; %; W/cfm; EER; SEER; HSPF; kW/ton; Energy Factor; Other; Unknown,ENUM,1
Cooling,,,,,,,
,Name,Name of the entity,Name,,,string,1
,ID,Unique ID,ID,,,string,1
,Cooling Type,Type of cooling equipment. This generally refers to central cooling equipment. Zonal cooling is recorded in a separate data field. Use of fans or blowers by themselves without chilled air or water is not included in this definition of air conditioning.,CoolingTypeEnum,,Central Air Conditioning; Split AC System; Heat Pump - Uncategorized; Heat Pump - Ground Source; Heat Pump - Air Source; Heat Pump - Water Loop; Heat Pump - Geothermal; District Chilled Water; Chiller - Uncategorized; Chiller - Absorption; Chiller - High Pressure Absorption; Chiller - Low Pressure Absorption; Chiller - Turbine Driven; Chiller - Engine Driven; Chiller - Modular; Evaporative Cooler; Cooling Tower - Uncategorized; Cooling Tower - Open; Cooling Tower - Closed; Condenser; PTAC; Packaged Direct Expansion; No cooling; Other Or Combination; Unknown,ENUM,1
,Chiller Compressor Type,"Type of compressor in the chiller, if applicable.",ChillerCompressorTypeEnum,,Reciprocating; Screw; Scroll; Centrifugal; Other; Unknown,ENUM,2
,Chiller Cooling Type,"Chiller cooling type, if applicable.",ChillerCoolingTypeEnum,,Air cooled; Water cooled; Other; Unknown,ENUM,2
,Fuel,Type of fuel consumed.,FuelEnum,,Electricity; Electricity (Renewable); Natural Gas; Natural Gas (Renewable); Fuel Oil; Fuel Oil No.1; Fuel Oil No.2; Fuel Oil No.4; Fuel Oil No.5 and No.6; District Steam; District hot water; District chilled water ; Solar hot water; Bottled gas (LPG or propane); Propane; Liquid Propane; Kerosene; Diesel; Coal; Coal (anthracite); Coal (bituminous); Coke; Wood; Other Or Combination,ENUM,1
,Quantity,Number of systems of this type.,Quantity,,,int,2
,Capacity,System capacity.,Capacity,,,double,2
,Capacity Unit,Measurement unit for the capacity of the system., CapacityUnitEnum,,Btu; kBtu; kBtu/hour; kW; tons; gallons,ENUM,2
,Efficiency,Efficiency of system.,Efficiency,,,double,1
,Efficiency Unit,Unit used to measure efficiency.,EfficiencyUnitsEnum,,COP; AFUE; %; W/cfm; EER; SEER; HSPF; kW/ton; Energy Factor; Other; Unknown,ENUM,1
,Year Of Manufacture,Year system was manufactured.,YearOfManufacture,,,int,1
,Primary Cooling Equipment,True if the system is the primary cooling equipment for the building.,PrimaryCoolingEquipment,,,boolean,2
,ENERGYSTAR,True if equipment is Energy Star rated.,ENERGYSTAR,,,boolean,2
,Percent Of Total Installed Capacity,Percent this system is of total installed capacity. [%],PercentOfTotalInstalledCapacity,,,double,2
,Percent Of Floor Area Served,The percentage of a facility�s square footage served by system. [%],PercentOfFloorAreaServed,,,double,2
